0	11.7045
0.68	14.2229
1.55	15.9448
2.63	-1.47359
3.89	15.5139
5.81	17.8709
6.75	-5.01144
7.41	-4.75907
8.07	-4.46176
8.74	-4.11079
9.41	-3.68085
10.11	-3.12738
10.82	-2.36562
11.59	-1.13512
12.81	14.5962
14.55	11.5878
15.21	11.8467
15.88	12.1409
16.56	12.4948
17.25	12.9404
17.97	13.5272
18.72	14.4479
19.7	16.8712
20.69	-3.40092
21.39	-2.75005
22.13	-1.79375
23.52	16.8379
24.51	-3.3484
25.21	-2.67754
25.95	-1.67685
27.27	16.2097
28.31	-2.14846
29.11	-0.70369
30.31	13.5322
31.07	14.4454
32.04	16.8253
33.03	-3.32183
33.73	-2.64297
34.48	-1.61737
35.78	15.9961
36.85	-1.6041
38.14	15.9441
39.22	-1.47397
40.48	15.5154
42.42	17.9313
43.35	-5.1056
44.01	-4.86469
44.67	-4.58709
45.33	-4.26114
46.01	-3.8651
46.69	-3.37017
47.4	-2.70829
48.14	-1.72571
49.48	16.4452
50.5	-2.6247
51.25	-1.58948
52.54	15.8912
53.62	-1.33777
54.86	15.1219
56.45	14.8379
58.04	13.5149
58.79	14.4102
59.75	16.6692
60.74	-3.06565
61.46	-2.27441
62.24	-0.96194
63.45	14.1676
64.3	15.7825
65.41	-1.02623
66.61	14.3161
67.52	16.289
68.55	-2.27503
69.33	-0.96386
70.54	14.1676
71.39	15.7997
72.49	-1.07621
73.7	14.4396
74.68	16.8482
75.66	-3.36729
76.37	-2.70297
77.11	-1.71737
78.45	16.4181
79.47	-2.54326
80.22	-1.4528
81.48	15.4437
83.21	16.7246
84.2	-3.17344
84.91	-2.43337
85.68	-1.2588
86.9	14.8984
88.49	13.8691
89.28	15.0803
90.87	14.6899
92.5	12.6247
93.2	13.1121
93.92	13.7838
94.71	14.904
96.29	13.8498
97.08	15.0209
98.66	14.4149
99.62	16.7258
100.62	-3.14127
101.33	-2.38544
102.1	-1.17175
103.32	14.6899
104.95	12.6198
105.65	13.1067
106.37	13.7739
107.16	14.8831
108.74	13.7627
109.52	14.8551
111.11	13.6311
111.88	14.6123
113.57	11.9432
114.24	12.2623
114.92	12.6385
115.62	13.132
116.35	13.8226
117.14	14.9749
118.72	14.1713
119.57	15.775
120.68	-1.03121
121.89	14.3375
122.8	16.3295
123.82	-2.38067
124.59	-1.16126
125.81	14.6618
127.46	12.392
128.15	12.8129
128.86	13.3539
129.6	14.1655
130.45	15.7708
131.56	-0.98948
132.76	14.2267
133.64	15.9809
134.71	-1.5762
135.99	15.8346
137.09	-1.21018
138.31	14.7869
139.91	13.2404
140.64	13.9826
141.46	15.3032
143.09	15.7861
144.19	-1.03888
145.4	14.3551
146.32	16.4052
147.34	-2.51549
148.1	-1.40463
149.35	15.2947
150.98	15.7416
152.09	-0.93819
153.29	14.1132
154.13	15.6306
155.28	-0.53928
156.48	13.0974
157.21	13.7574
157.99	14.8669
159.57	13.6616
160.34	14.6678
161.98	12.5606
162.68	13.0232
163.4	13.6553
164.17	14.6713
