#X 	Y 	poch 	SPLINE
100.09	-6.12929	-168.803	-6.45997
100.1	-6.45997	-175.557	-6.80799
100.11	-6.80799	-168.937	-7.17304
100.12	-7.17304	-170.045	-7.55436
100.13	-7.55436	-144.503	-7.95069
100.14	-7.95069	-135.043	-8.3602
100.15	-8.3602	-105.803	-8.7804
100.16	-8.7804	-82.8826	-9.20805
100.17	-9.20805	-29.1518	-9.63913
100.18	-9.63913	13.2265	-10.0688
100.19	-10.0688	63.7557	-10.4912
100.2	-10.4912	143.303	-10.8999
100.21	-10.8999	207.234	-11.2875
100.22	-11.2875	289.675	-11.6463
100.23	-11.6463	365.504	-11.968
100.24	-11.968	458.901	-12.2444
100.25	-12.2444	532.095	-12.4676
100.26	-12.4676	603.34	-12.6304
100.27	-12.6304	669.143	-12.7268
100.28	-12.7268	710.722	-12.7524
100.29	-12.7524	737.174	-12.7045
100.3	-12.7045	745.133	-12.5827
100.31	-12.5827	724.596	-12.3886
100.32	-12.3886	686.38	-12.1261
100.33	-12.1261	635.13	-11.8008
100.34	-11.8008	549.731	-11.4203
100.35	-11.4203	470.149	-10.993
100.36	-10.993	371.133	-10.5284
100.37	-10.5284	284.144	-10.0362
100.38	-10.0362	170.697	-9.52607
100.39	-9.52607	89.3283	-9.00711
100.4	-9.00711	-0.834348	-8.4878
100.41	-8.4878	-65	-7.97567
100.42	-7.97567	-146.559	-7.4772
100.43	-7.4772	-191.729	-6.99776
100.44	-6.99776	-227.812	-6.54164
100.45	-6.54164	-275.311	-6.11212
100.46	-6.11212	-287.759	-5.71151
100.47	-5.71151	-307.492	-5.34133
100.48	-5.34133	-307.282	-5.00236
100.49	-5.00236	-320.373	-4.6948
100.5	-4.6948	-311.277	-4.41837
100.51	-4.41837	-301.511	-4.17242
100.52	-4.17242	-300.15	-3.95604
100.53	-3.95604	-283.256	-3.76811
100.54	-3.76811	-273.112	-3.60741
100.55	-3.60741	-257.384	-3.47267
100.56	-3.47267	-248.712	-3.36259
100.57	-3.36259	-233.474	-3.27592
100.58	-3.27592	-221.385	-3.21149
100.59	-3.21149	-212.377	-3.16821
100.6	-3.16821	-201.015	-3.14509
100.61	-3.14509	-192.645	-3.14127
