#X 	Y 	poch 	SPLINE
0	11.7045	-17732.9	11.1836
0.01	11.1836	4212.45	10.6228
0.02	10.6228	-1510.36	10.0345
0.03	10.0345	176.008	9.43051
0.04	9.43051	-132.662	8.82194
0.05	8.82194	79.2996	8.21868
0.06	8.21868	133.996	7.62922
0.07	7.62922	212.71	7.06061
0.08	7.06061	266.164	6.51843
0.09	6.51843	308.496	6.00688
0.1	6.00688	337.578	5.5289
0.11	5.5289	355.438	5.08631
0.12	5.08631	364.036	4.67999
0.13	4.67999	364.629	4.31003
0.14	4.31003	359.083	3.9759
0.15	3.9759	348.826	3.67659
0.16	3.67659	334.791	3.41073
0.17	3.41073	319.029	3.17674
0.18	3.17674	301.299	2.97287
0.19	2.97287	282.963	2.7973
0.2	2.7973	264.853	2.64822
0.21	2.64822	247.007	2.52386
0.22	2.52386	230.328	2.42254
0.23	2.42254	214.083	2.34267
0.24	2.34267	200.336	2.28284
0.25	2.28284	186.983	2.24174
0.26	2.24174	175.525	2.21823
0.27	2.21823	166.324	2.21136
0.28	2.21136	157.572	2.22029
0.29	2.22029	151.39	2.24438
0.3	2.24438	146.467	2.28314
0.31	2.28314	142.939	2.33622
0.32	2.33622	140.988	2.40343
0.33	2.40343	140.89	2.48474
0.34	2.48474	141.468	2.58023
0.35	2.58023	144.036	2.69014
0.36	2.69014	147.572	2.81483
0.37	2.81483	152.499	2.95479
0.38	2.95479	158.635	3.11063
0.39	3.11063	165.755	3.28306
0.4	3.28306	173.721	3.47289
0.41	3.47289	183.38	3.68106
0.42	3.68106	193.182	3.90856
0.43	3.90856	203.64	4.15644
0.44	4.15644	215.085	4.42582
0.45	4.42582	226.044	4.71781
0.46	4.71781	237.298	5.03352
0.47	5.03352	248.004	5.374
0.48	5.374	256.877	5.74015
0.49	5.74015	264.626	6.13271
0.5	6.13271	269.292	6.55213
0.51	6.55213	269.825	6.99846
0.52	6.99846	265.973	7.47126
0.53	7.47126	254.527	7.9694
0.54	7.9694	236.117	8.49096
0.55	8.49096	206.401	9.03298
0.56	9.03298	165.859	9.59134
0.57	9.59134	110.58	10.1605
0.58	10.1605	40.9895	10.7335
0.59	10.7335	-45.8844	11.3017
0.6	11.3017	-148.105	11.8547
0.61	11.8547	-266.833	12.3809
0.62	12.3809	-398.01	12.8671
0.63	12.8671	-537.523	13.2996
0.64	13.2996	-679.882	13.6641
0.65	13.6641	-816.995	13.9472
0.66	13.9472	-939.202	14.1367
0.67	14.1367	-1038.5	14.2229
0.68	14.2229	-1105.96	14.1992
0.69	14.1992	-1134.74	14.0627
0.7	14.0627	-1121.89	13.8147
0.71	13.8147	-1067.14	13.4606
0.72	13.4606	-974.238	13.0096
0.73	13.0096	-849.402	12.4741
0.74	12.4741	-701.786	11.8686
0.75	11.8686	-541.039	11.2091
0.76	11.2091	-377.09	10.5117
0.77	10.5117	-218.024	9.79241
0.78	9.79241	-70.7774	9.06571
0.79	9.06571	59.1936	8.34461
0.8	8.34461	169.742	7.64014
0.81	7.64014	259.622	6.96129
0.82	6.96129	328.973	6.31502
0.83	6.31502	379.313	5.70639
0.84	5.70639	412.157	5.13873
0.85	5.13873	430.478	4.61392
0.86	4.61392	436.726	4.13261
0.87	4.13261	432.59	3.69443
0.88	3.69443	420.757	3.29824
0.89	3.29824	403.763	2.94234
0.9	2.94234	381.605	2.62458
0.91	2.62458	358.332	2.3426
0.92	2.3426	331.761	2.09382
0.93	2.09382	306.615	1.87568
0.94	1.87568	280.176	1.68559
0.95	1.68559	255.695	1.52107
0.96	1.52107	231.24	1.37972
0.97	1.37972	209.593	1.25934
0.98	1.25934	188.542	1.15785
0.99	1.15785	169.636	1.07336
1	1.07336	152.915	1.00418
1.01	1.00418	137.309	0.94877
1.02	0.94877	124.053	0.90579
1.03	0.90579	112.277	0.87406
1.04	0.87406	101.84	0.85255
1.05	0.85255	93.5657	0.84041
1.06	0.84041	86.0927	0.83691
1.07	0.83691	80.4672	0.84147
1.08	0.84147	75.6328	0.85362
1.09	0.85362	72.4021	0.87302
1.1	0.87302	69.7602	0.89943
1.11	0.89943	69.157	0.93275
1.12	0.93275	68.2143	0.97292
1.13	0.97292	68.9869	1.02001
1.14	1.02001	71.0378	1.0742
1.15	1.0742	72.8657	1.13571
1.16	1.13571	76.6961	1.20489
1.17	1.20489	80.5536	1.28215
1.18	1.28215	85.891	1.36801
1.19	1.36801	91.8187	1.46307
1.2	1.46307	98.892	1.56803
1.21	1.56803	106.613	1.68367
1.22	1.68367	115.463	1.81088
1.23	1.81088	125.73	1.95067
1.24	1.95067	136.429	2.10413
1.25	2.10413	148.755	2.27248
1.26	2.27248	161.952	2.45705
1.27	2.45705	176.645	2.6593
1.28	2.6593	192.267	2.8808
1.29	2.8808	209.285	3.12325
1.3	3.12325	227.599	3.38847
1.31	3.38847	246.517	3.67837
1.32	3.67837	266.928	3.99496
1.33	3.99496	287.374	4.3403
1.34	4.3403	308.577	4.71649
1.35	4.71649	329.302	5.12559
1.36	5.12559	348.841	5.56954
1.37	5.56954	366.346	6.05007
1.38	6.05007	380.555	6.56856
1.39	6.56856	389.069	7.12584
1.4	7.12584	390.558	7.72201
1.41	7.72201	382.095	8.35616
1.42	8.35616	359.871	9.02602
1.43	9.02602	321.016	9.72764
1.44	9.72764	261.168	10.455
1.45	10.455	176.784	11.1995
1.46	11.1995	63.7257	11.9499
1.47	11.9499	-79.4944	12.6918
1.48	12.6918	-254.553	13.4078
1.49	13.4078	-457.49	14.0776
1.5	14.0776	-683.304	14.679
1.51	14.679	-921.106	15.1882
1.52	15.1882	-1155.26	15.5823
1.53	15.5823	-1369.31	15.8402
1.54	15.8402	-1541.87	15.9448
1.55	15.9448	-1655.87	15.8851
1.56	15.8851	-1698.11	15.6568
1.57	15.6568	-1660.86	15.2638
1.58	15.2638	-1547.18	14.7171
1.59	14.7171	-1366.98	14.0346
1.6	14.0346	-1136.54	13.2389
1.61	13.2389	-876.479	12.3558
1.62	12.3558	-606.388	11.4118
1.63	11.4118	-345.323	10.433
1.64	10.433	-106.364	9.44293
1.65	9.44293	100.04	8.4623
1.66	8.4623	270.168	7.50805
1.67	7.50805	402.065	6.59342
1.68	6.59342	498.802	5.7281
1.69	5.7281	561.917	4.91853
1.7	4.91853	597.92	4.16837
1.71	4.16837	610.987	3.479
1.72	3.479	605.572	2.84996
1.73	2.84996	586.511	2.27939
1.74	2.27939	556.592	1.76438
1.75	1.76438	520.719	1.30135
1.76	1.30135	479.347	0.88623
1.77	0.88623	436.498	0.51474
1.78	0.51474	392.465	0.1825
1.79	0.1825	348.647	-0.11485
1.8	-0.11485	306.35	-0.38153
1.81	-0.38153	266.159	-0.62157
1.82	-0.62157	227.58	-0.8388
1.83	-0.8388	191.944	-1.0368
1.84	-1.0368	158.447	-1.21891
1.85	-1.21891	127.673	-1.38821
1.86	-1.38821	99.4557	-1.54754
1.87	-1.54754	72.7167	-1.69955
1.88	-1.69955	48.8667	-1.84665
1.89	-1.84665	26.4238	-1.99108
1.9	-1.99108	5.63424	-2.13492
1.91	-2.13492	-13.5484	-2.2801
1.92	-2.2801	-31.8642	-2.42844
1.93	-2.42844	-48.5808	-2.58164
1.94	-2.58164	-65.2971	-2.74135
1.95	-2.74135	-80.9401	-2.90914
1.96	-2.90914	-95.7582	-3.08651
1.97	-3.08651	-110.808	-3.27495
1.98	-3.27495	-125.227	-3.47591
1.99	-3.47591	-139.477	-3.69082
2	-3.69082	-153.872	-3.9211
2.01	-3.9211	-167.231	-4.16811
2.02	-4.16811	-181.011	-4.43321
2.03	-4.43321	-194.128	-4.71771
2.04	-4.71771	-206.486	-5.02284
2.05	-5.02284	-217.723	-5.34972
2.06	-5.34972	-227.624	-5.69933
2.07	-5.69933	-235.577	-6.07245
2.08	-6.07245	-240.699	-6.46958
2.09	-6.46958	-242.214	-6.89085
2.1	-6.89085	-238.841	-7.33592
2.11	-7.33592	-230.418	-7.80389
2.12	-7.80389	-213.526	-8.2931
2.13	-8.2931	-189.152	-8.80103
2.14	-8.80103	-153.734	-9.32414
2.15	-9.32414	-106.692	-9.8577
2.16	-9.8577	-46.5766	-10.3957
2.17	-10.3957	27.2666	-10.9307
2.18	-10.9307	116.267	-11.4539
2.19	-11.4539	217.486	-11.9551
2.2	-11.9551	332.037	-12.423
2.21	-12.423	453.48	-12.8454
2.22	-12.8454	579.914	-13.21
2.23	-13.21	703.241	-13.5043
2.24	-13.5043	816.725	-13.7173
2.25	-13.7173	913.292	-13.8393
2.26	-13.8393	984.716	-13.8635
2.27	-13.8635	1024.85	-13.7857
2.28	-13.7857	1030.46	-13.6054
2.29	-13.6054	999.154	-13.3259
2.3	-13.3259	932.735	-12.9535
2.31	-12.9535	836.095	-12.498
2.32	-12.498	714.923	-11.9712
2.33	-11.9712	578.018	-11.3868
2.34	-11.3868	432.56	-10.7591
2.35	-10.7591	287.44	-10.1026
2.36	-10.1026	149.234	-9.43097
2.37	-9.43097	21.5995	-8.75686
2.38	-8.75686	-88.3364	-8.09134
2.39	-8.09134	-182.729	-7.44378
2.4	-7.44378	-258.326	-6.82176
2.41	-6.82176	-316.392	-6.23111
2.42	-6.23111	-358.293	-5.67604
2.43	-5.67604	-385.251	-5.1593
2.44	-5.1593	-400.482	-4.68242
2.45	-4.68242	-404.44	-4.24585
2.46	-4.24585	-400.387	-3.84921
2.47	-3.84921	-389.797	-3.49147
2.48	-3.49147	-374.44	-3.17111
2.49	-3.17111	-355.232	-2.88625
2.5	-2.88625	-334.654	-2.63482
2.51	-2.63482	-311.948	-2.41459
2.52	-2.41459	-289.553	-2.22332
2.53	-2.22332	-267.457	-2.0588
2.54	-2.0588	-245.612	-1.91887
2.55	-1.91887	-225.497	-1.80151
2.56	-1.80151	-206.602	-1.70483
2.57	-1.70483	-188.9	-1.62708
2.58	-1.62708	-173.591	-1.56671
2.59	-1.56671	-159.546	-1.52232
2.6	-1.52232	-147.029	-1.49267
2.61	-1.49267	-136.739	-1.47672
2.62	-1.47672	-128.008	-1.47359
2.63	-1.47359	-120.432	-1.48254
2.64	-1.48254	-115.049	-1.50301
2.65	-1.50301	-110.577	-1.53457
2.66	-1.53457	-108.042	-1.57695
2.67	-1.57695	-106.46	-1.63
2.68	-1.63	-106.323	-1.69371
2.69	-1.69371	-107.846	-1.76821
2.7	-1.76821	-109.702	-1.85372
2.71	-1.85372	-113.935	-1.95062
2.72	-1.95062	-117.972	-2.05936
2.73	-2.05936	-124.57	-2.18056
2.74	-2.18056	-131.354	-2.31492
2.75	-2.31492	-139.599	-2.46326
2.76	-2.46326	-149.06	-2.62652
2.77	-2.62652	-159.363	-2.80574
2.78	-2.80574	-171.104	-3.00208
2.79	-3.00208	-183.401	-3.21679
2.8	-3.21679	-197.501	-3.45125
2.81	-3.45125	-211.602	-3.70689
2.82	-3.70689	-226.887	-3.98523
2.83	-3.98523	-242.841	-4.28785
2.84	-4.28785	-258.554	-4.61633
2.85	-4.61633	-274.565	-4.97225
2.86	-4.97225	-289.567	-5.3571
2.87	-5.3571	-302.984	-5.77223
2.88	-5.77223	-314.693	-6.21875
2.89	-6.21875	-322.201	-6.69741
2.9	-6.69741	-324.921	-7.20845
2.91	-7.20845	-320.897	-7.75143
2.92	-7.75143	-307.922	-8.32501
2.93	-8.32501	-283.422	-8.92671
2.94	-8.92671	-245.569	-9.55268
2.95	-9.55268	-190.51	-10.1974
2.96	-10.1974	-116.203	-10.8533
2.97	-10.8533	-20.2827	-11.511
2.98	-11.511	97.7697	-12.1584
2.99	-12.1584	239.347	-12.7816
3	-12.7816	400.478	-13.3645
3.01	-13.3645	577.341	-13.8895
3.02	-13.8895	762.359	-14.3383
3.03	-14.3383	944.632	-14.6929
3.04	-14.6929	1111.76	-14.9368
3.05	-14.9368	1250.32	-15.0564
3.06	-15.0564	1347.32	-15.0421
3.07	-15.0421	1393.25	-14.8894
3.08	-14.8894	1381.37	-14.5996
3.09	-14.5996	1312	-14.1794
3.1	-14.1794	1189.86	-13.641
3.11	-13.641	1025.38	-13.0005
3.12	-13.0005	831.04	-12.2771
3.13	-12.2771	622.122	-11.4916
3.14	-11.4916	411.092	-10.6647
3.15	-10.6647	210.931	-9.81651
3.16	-9.81651	29.7272	-8.96489
3.17	-8.96489	-126.364	-8.12545
3.18	-8.12545	-255.15	-7.31104
3.19	-7.31104	-354.791	-6.53168
3.2	-6.53168	-428.715	-5.79478
3.21	-5.79478	-477.924	-5.10532
3.22	-5.10532	-506.027	-4.46618
3.23	-4.46618	-517.152	-3.87851
3.24	-3.87851	-513.586	-3.34203
3.25	-3.34203	-499.904	-2.85539
3.26	-2.85539	-477.203	-2.41639
3.27	-2.41639	-449.679	-2.02228
3.28	-2.02228	-417.496	-1.6699
3.29	-1.6699	-384.136	-1.35591
3.3	-1.35591	-349.365	-1.07686
3.31	-1.07686	-314.807	-0.82931
3.32	-0.82931	-281.411	-0.60992
3.33	-0.60992	-249.149	-0.41548
3.34	-0.41548	-218.993	-0.24296
3.35	-0.24296	-190.086	-0.0895
3.36	-0.0895	-164.265	0.04752
3.37	0.04752	-139.254	0.17056
3.38	0.17056	-117.685	0.28182
3.39	0.28182	-96.6221	0.38337
3.4	0.38337	-78.4266	0.47706
3.41	0.47706	-61.2745	0.56459
3.42	0.56459	-46.0756	0.6475
3.43	0.6475	-31.6228	0.72722
3.44	0.72722	-18.8323	0.80505
3.45	0.80505	-6.4484	0.88221
3.46	0.88221	4.42489	0.95981
3.47	0.95981	15.149	1.03892
3.48	1.03892	25.5808	1.12057
3.49	1.12057	34.9206	1.20572
3.5	1.20572	44.7436	1.29534
3.51	1.29534	54.3049	1.39039
3.52	1.39039	63.8437	1.49183
3.53	1.49183	73.7126	1.60064
3.54	1.60064	83.5137	1.71782
3.55	1.71782	94.4288	1.84444
3.56	1.84444	105.169	1.98159
3.57	1.98159	116.704	2.13043
3.58	2.13043	129.409	2.29221
3.59	2.29221	142.069	2.46822
3.6	2.46822	156.101	2.65986
3.61	2.65986	171.329	2.86863
3.62	2.86863	186.393	3.09608
3.63	3.09608	203.567	3.34388
3.64	3.34388	220.636	3.61377
3.65	3.61377	239.304	3.90758
3.66	3.90758	257.342	4.22715
3.67	4.22715	276.942	4.57439
3.68	4.57439	295.087	4.95114
3.69	4.95114	313.315	5.35919
3.7	5.35919	329.66	5.80016
3.71	5.80016	343.242	6.27539
3.72	6.27539	352.991	6.78582
3.73	6.78582	356.775	7.3318
3.74	7.3318	352.92	7.9129
3.75	7.9129	338.749	8.52765
3.76	8.52765	311.084	9.17324
3.77	9.17324	267.314	9.84523
3.78	9.84523	203.695	10.5372
3.79	10.5372	116.675	11.2404
3.8	11.2404	4.63738	11.9437
3.81	11.9437	-134.08	12.633
3.82	12.633	-299.848	13.2921
3.83	13.2921	-487.573	13.9021
3.84	13.9021	-692.887	14.4426
3.85	14.4426	-903.675	14.893
3.86	14.893	-1108	15.2329
3.87	15.2329	-1289.57	15.4445
3.88	15.4445	-1431.36	15.5139
3.89	15.5139	-1520.2	15.4323
3.9	15.4323	-1544.91	15.1974
3.91	15.1974	-1501.19	14.8134
3.92	14.8134	-1392.14	14.2912
3.93	14.2912	-1227.11	13.647
3.94	13.647	-1019.36	12.9012
3.95	12.9012	-787.318	12.0768
3.96	12.0768	-547.313	11.1976
3.97	11.1976	-314.47	10.2866
3.98	10.2866	-101.052	9.36506
3.99	9.36506	85.1321	8.4515
4	8.4515	239.917	7.56133
4.01	7.56133	359.843	6.70672
4.02	6.70672	451.831	5.8967
4.03	5.8967	510.616	5.13743
4.04	5.13743	548.484	4.43257
4.05	4.43257	562.118	3.78372
4.06	3.78372	561.731	3.19075
4.07	3.19075	545.532	2.65225
4.08	2.65225	522.744	2.16583
4.09	2.16583	489.745	1.72839
4.1	1.72839	455.772	1.33641
4.11	1.33641	415.96	0.98607
4.12	0.98607	377.722	0.67346
4.13	0.67346	337.912	0.39469
4.14	0.39469	300.184	0.14593
4.15	0.14593	262.713	-0.07649
4.16	-0.07649	228.691	-0.27604
4.17	-0.27604	195.334	-0.45599
4.18	-0.45599	165.432	-0.61938
4.19	-0.61938	137.033	-0.76902
4.2	-0.76902	110.987	-0.90753
4.21	-0.90753	87.234	-1.03728
4.22	-1.03728	65.2948	-1.16048
4.23	-1.16048	44.9439	-1.27915
4.24	-1.27915	26.3873	-1.39517
4.25	-1.39517	8.84511	-1.51028
4.26	-1.51028	-7.17476	-1.62609
4.27	-1.62609	-22.4771	-1.74414
4.28	-1.74414	-36.9786	-1.86587
4.29	-1.86587	-50.7522	-1.99268
4.3	-1.99268	-64.456	-2.12592
4.31	-2.12592	-77.6062	-2.26693
4.32	-2.26693	-90.9236	-2.41702
4.33	-2.41702	-103.913	-2.57752
4.34	-2.57752	-117.569	-2.74976
4.35	-2.74976	-130.701	-2.9351
4.36	-2.9351	-145.124	-3.13493
4.37	-3.13493	-158.737	-3.35067
4.38	-3.35067	-173.959	-3.58378
4.39	-3.58378	-188.255	-3.83575
4.4	-3.83575	-203.934	-4.10808
4.41	-4.10808	-218.347	-4.40228
4.42	-4.40228	-234.076	-4.71984
4.43	-4.71984	-247.843	-5.0622
4.44	-5.0622	-261.601	-5.43066
4.45	-5.43066	-272.755	-5.8264
4.46	-5.8264	-283.108	-6.25033
4.47	-6.25033	-287.396	-6.70299
4.48	-6.70299	-289.853	-7.18447
4.49	-7.18447	-283.735	-7.69423
4.5	-7.69423	-270.579	-8.2309
4.51	-8.2309	-248.463	-8.79215
4.52	-8.79215	-211.941	-9.37442
4.53	-9.37442	-163.394	-9.97269
4.54	-9.97269	-96.0995	-10.5803
4.55	-10.5803	-13.3649	-11.1889
4.56	-11.1889	90.8893	-11.7882
4.57	-11.7882	211.891	-12.3659
4.58	-12.3659	351.738	-12.9083
4.59	-12.9083	502.489	-13.4003
4.6	-13.4003	662.657	-13.8261
4.61	-13.8261	819.581	-14.17
4.62	-14.17	967.162	-14.4177
4.63	-14.4177	1091.2	-14.5567
4.64	-14.5567	1184.1	-14.5781
4.65	-14.5781	1234.66	-14.4767
4.66	-14.4767	1238.73	-14.2523
4.67	-14.2523	1194.78	-13.9092
4.68	-13.9092	1103.14	-13.4564
4.69	-13.4564	974.74	-12.9066
4.7	-12.9066	814.594	-12.2757
4.71	-12.2757	638.966	-11.581
4.72	-11.581	453.991	-10.8407
4.73	-10.8407	276.109	-10.0728
4.74	-10.0728	107.468	-9.2937
4.75	-9.2937	-40.3637	-8.51827
4.76	-8.51827	-165.558	-7.75909
4.77	-7.75909	-270.283	-7.02644
4.78	-7.02644	-347.23	-6.32825
4.79	-6.32825	-406.332	-5.67027
4.8	-5.67027	-441.999	-5.0563
4.81	-5.0563	-464.468	-4.48845
4.82	-4.48845	-469.007	-3.9674
4.83	-3.9674	-465.96	-3.49272
4.84	-3.49272	-450.772	-3.06308
4.85	-3.06308	-432.086	-2.67651
4.86	-2.67651	-406.247	-2.33057
4.87	-2.33057	-379.675	-2.02253
4.88	-2.02253	-350.008	-1.74951
4.89	-1.74951	-320.657	-1.50854
4.9	-1.50854	-291.104	-1.29671
4.91	-1.29671	-262.681	-1.11116
4.92	-1.11116	-235.549	-0.9492
4.93	-0.9492	-210.022	-0.80826
4.94	-0.80826	-186.007	-0.68597
4.95	-0.68597	-164.569	-0.58015
4.96	-0.58015	-144.247	-0.4888
4.97	-0.4888	-126.36	-0.41011
4.98	-0.41011	-110.16	-0.34246
4.99	-0.34246	-95.1922	-0.28437
5	-0.28437	-82.8522	-0.23457
5.01	-0.23457	-70.7756	-0.19189
5.02	-0.19189	-61.1141	-0.15533
5.03	-0.15533	-52.0824	-0.124
5.04	-0.124	-44.2593	-0.09711
5.05	-0.09711	-37.3653	-0.07398
5.06	-0.07398	-31.8077	-0.05403
5.07	-0.05403	-26.2659	-0.03673
5.08	-0.03673	-22.0756	-0.02164
5.09	-0.02164	-18.0787	-0.00837
5.1	-0.00837	-14.769	0.00342
5.11	0.00342	-11.6815	0.01403
5.12	0.01403	-9.27304	0.02371
5.13	0.02371	-7.05568	0.03268
5.14	0.03268	-5.0774	0.04114
5.15	0.04114	-3.25991	0.04927
5.16	0.04927	-1.65926	0.05723
5.17	0.05723	-0.32614	0.06516
5.18	0.06516	1.18663	0.0732
5.19	0.0732	2.15697	0.08146
5.2	0.08146	3.4085	0.09006
5.21	0.09006	4.58534	0.09912
5.22	0.09912	5.87499	0.10876
5.23	0.10876	6.6883	0.11908
5.24	0.11908	8.20048	0.13021
5.25	0.13021	9.07897	0.14226
5.26	0.14226	10.6814	0.15537
5.27	0.15537	11.8312	0.16967
5.28	0.16967	13.3551	0.18531
5.29	0.18531	15.1917	0.20246
5.3	0.20246	16.4309	0.22127
5.31	0.22127	18.7358	0.24195
5.32	0.24195	20.7708	0.26471
5.33	0.26471	23.0432	0.28978
5.34	0.28978	25.5867	0.31741
5.35	0.31741	28.287	0.34788
5.36	0.34788	31.5833	0.38151
5.37	0.38151	35.0702	0.41865
5.38	0.41865	38.6364	0.45967
5.39	0.45967	43.2962	0.50502
5.4	0.50502	47.8562	0.55516
5.41	0.55516	52.8135	0.61061
5.42	0.61061	59.3428	0.67198
5.43	0.67198	65.1831	0.7399
5.44	0.7399	72.7375	0.8151
5.45	0.8151	80.876	0.8984
5.46	0.8984	89.5306	0.99067
5.47	0.99067	99.4554	1.09291
5.48	1.09291	110.571	1.20622
5.49	1.20622	122.769	1.33183
5.5	1.33183	136.014	1.47108
5.51	1.47108	151.533	1.62548
5.52	1.62548	167.289	1.79667
5.53	1.79667	186.235	1.98648
5.54	1.98648	205.498	2.19691
5.55	2.19691	228.395	2.43017
5.56	2.43017	251.377	2.68865
5.57	2.68865	278.577	2.97497
5.58	2.97497	305.521	3.29193
5.59	3.29193	336.859	3.64255
5.6	3.64255	367.616	4.03001
5.61	4.03001	402.037	4.45763
5.62	4.45763	434.991	4.9288
5.63	4.9288	469.717	5.44686
5.64	5.44686	500.951	6.01501
5.65	6.01501	530.348	6.63602
5.66	6.63602	550.98	7.31205
5.67	7.31205	565.045	8.04423
5.68	8.04423	559.915	8.83218
5.69	8.83218	539.264	9.67348
5.7	9.67348	486.389	10.563
5.71	10.563	402.918	11.4919
5.72	11.4919	271.522	12.4472
5.73	12.4472	94.1162	13.4109
5.74	13.4109	-143.656	14.3594
5.75	14.3594	-434.768	15.2636
5.76	15.2636	-776.413	16.0895
5.77	16.0895	-1155.73	16.7997
5.78	16.7997	-1541.81	17.3561
5.79	17.3561	-1906.3	17.7229
5.8	17.7229	-2205.5	17.8709
5.81	17.8709	-2403.77	17.7806
5.82	17.7806	-2472.74	17.4455
5.83	17.4455	-2397.48	16.8729
5.84	16.8729	-2189.11	16.0833
5.85	16.0833	-1865.59	15.1082
5.86	15.1082	-1472.49	13.9866
5.87	13.9866	-1040.96	12.7606
5.88	12.7606	-620.838	11.4721
5.89	11.4721	-229.789	10.1596
5.9	10.1596	99.4498	8.8561
5.91	8.8561	370.655	7.58839
5.92	7.58839	568.997	6.37673
5.93	6.37673	712.84	5.2353
5.94	5.2353	796.81	4.17296
5.95	4.17296	842.156	3.19412
5.96	3.19412	847.515	2.29972
5.97	2.29972	831.513	1.48803
5.98	1.48803	791.471	0.75539
5.99	0.75539	743.407	0.09686
6	0.09686	683.5	-0.49336
6.01	-0.49336	621.004	-1.02147
6.02	-1.02147	557.491	-1.49387
6.03	-1.49387	493.063	-1.91688
6.04	-1.91688	432.383	-2.29665
6.05	-2.29665	372.967	-2.63902
6.06	-2.63902	318.711	-2.94949
6.07	-2.94949	267.126	-3.23315
6.08	-3.23315	220.545	-3.49471
6.09	-3.49471	177.475	-3.73844
6.1	-3.73844	138.625	-3.96826
6.11	-3.96826	103.307	-4.18767
6.12	-4.18767	72.0919	-4.39984
6.13	-4.39984	43.3767	-4.60759
6.14	-4.60759	18.9595	-4.81343
6.15	-4.81343	-3.98057	-5.01958
6.16	-5.01958	-22.2529	-5.22796
6.17	-5.22796	-40.2243	-5.44027
6.18	-5.44027	-53.2298	-5.65791
6.19	-5.65791	-66.0467	-5.88207
6.2	-5.88207	-74.4329	-6.11368
6.21	-6.11368	-82.5476	-6.35345
6.22	-6.35345	-85.659	-6.6018
6.23	-6.6018	-88.9315	-6.85894
6.24	-6.85894	-86.7403	-7.12475
6.25	-7.12475	-83.5517	-7.39885
6.26	-7.39885	-76.4192	-7.68052
6.27	-7.68052	-65.783	-7.96873
6.28	-7.96873	-52.0241	-8.26205
6.29	-8.26205	-33.5395	-8.5587
6.3	-8.5587	-12.789	-8.85651
6.31	-8.85651	14.2088	-9.15288
6.32	-9.15288	43.2626	-9.44483
6.33	-9.44483	77.0607	-9.72904
6.34	-9.72904	113.719	-10.0018
6.35	-10.0018	153.685	-10.2592
6.36	-10.2592	194.519	-10.4971
6.37	-10.4971	237.462	-10.7113
6.38	-10.7113	278.323	-10.8977
6.39	-10.8977	318.487	-11.0523
6.4	-11.0523	354.405	-11.1715
6.41	-11.1715	385.126	-11.2524
6.42	-11.2524	409.36	-11.2924
6.43	-11.2924	425.272	-11.2901
6.44	-11.2901	432.428	-11.2446
6.45	-11.2446	429.277	-11.1565
6.46	-11.1565	417.644	-11.0267
6.47	-11.0267	394.701	-10.8575
6.48	-10.8575	365.305	-10.652
6.49	-10.652	326.263	-10.414
6.5	-10.414	283.15	-10.1477
6.51	-10.1477	234.898	-9.85794
6.52	-9.85794	183.847	-9.5498
6.53	-9.5498	133.447	-9.22835
6.54	-9.22835	81.8914	-8.89862
6.55	-8.89862	34.8475	-8.56541
6.56	-8.56541	-11.5372	-8.23323
6.57	-8.23323	-51.4465	-7.90616
6.58	-7.90616	-88.3521	-7.58781
6.59	-7.58781	-119.263	-7.28134
6.6	-7.28134	-146.499	-6.9894
6.61	-6.9894	-167.378	-6.71416
6.62	-6.71416	-185.195	-6.45734
6.63	-6.45734	-197.79	-6.22026
6.64	-6.22026	-207.377	-6.00384
6.65	-6.00384	-212.921	-5.8087
6.66	-5.8087	-217.17	-5.6352
6.67	-5.6352	-217.317	-5.48344
6.68	-5.48344	-217.496	-5.35337
6.69	-5.35337	-214.528	-5.24477
6.7	-5.24477	-212.227	-5.15735
6.71	-5.15735	-207.656	-5.09072
6.72	-5.09072	-204.338	-5.04449
6.73	-5.04449	-199.129	-5.0182
6.74	-5.0182	-195.467	-5.01144
6.75	-5.01144	-190.843	-5.02378
6.76	-5.02378	-187.121	-5.05483
6.77	-5.05483	-183.346	-5.10423
6.78	-5.10423	-180.363	-5.17166
6.79	-5.17166	-177.181	-5.25683
6.8	-5.25683	-175.111	-5.35949
6.81	-5.35949	-172.013	-5.47939
6.82	-5.47939	-170.953	-5.61634
6.83	-5.61634	-167.533	-5.77009
6.84	-5.77009	-166.496	-5.94044
6.85	-5.94044	-162.957	-6.12711
6.86	-6.12711	-160.353	-6.32977
6.87	-6.32977	-155.606	-6.54801
6.88	-6.54801	-151.406	-6.78132
6.89	-6.78132	-143.645	-7.02901
6.9	-7.02901	-136.098	-7.29023
6.91	-7.29023	-124.506	-7.5639
6.92	-7.5639	-112.128	-7.84868
6.93	-7.84868	-94.3696	-8.1429
6.94	-8.1429	-75.992	-8.4446
6.95	-8.4446	-51.2662	-8.75141
6.96	-8.75141	-24.6618	-9.06057
6.97	-9.06057	7.98485	-9.36891
6.98	-9.36891	42.8138	-9.67286
6.99	-9.67286	83.2721	-9.96846
7	-9.96846	125.977	-10.2514
7.01	-10.2514	171.816	-10.5171
7.02	-10.5171	219.723	-10.7609
7.03	-10.7609	267.065	-10.978
7.04	-10.978	314.509	-11.1636
7.05	-11.1636	357.742	-11.3136
7.06	-11.3136	397.183	-11.424
7.07	-11.424	429.349	-11.4915
7.08	-11.4915	453.74	-11.5139
7.09	-11.5139	467.846	-11.4896
7.1	-11.4896	471.479	-11.4184
